"ChoiceNm","ID","Set","cset","altij","Amount","MobilePd","Merged","Location","Vehicle","DayOfWek","Weekend","StrtTmHr","StayDrtn","AmountA","TmTClrwy","TmTPrdEn","FndMtrEx","FndMtrNP","FndClrwV","MtrExprd","MetrNtPd","ClrwyVlt","FrePrkng","APP","PrkngFrq","PrsnlAPD","PrfMblPy","CBDPrknR","time","Volume","Load","ZoneAPD","CpctyAdj","TrnvrAdj","IndxAdjs","choice","ChcNmOvr","ChocNmPd","ChcNmUnd","ChcNmUnp","LctnElzS","LctnAlcS","LctnTrbS","VehiclCr","VehiclUt","VehiclVn","VehclHvy","VhclOthr","DyOfWkMn","DyOfWkTs","DyOfWkWd","DyOfWkTh","DyOfWkFr","DyOfWkSt","DyOfWkSn","tmErlyMr","timMrnng","timeNoon","tmAftrnn","timEvnng","timeNght","tmMdnght","AmountDiff","OthrNtPd","NtPd","Paid"
1,961,961,4,4,1.58,1,0,1,1,6,1,7,28.7833333333333,1.10336111111111,1440,719.05,0,0,0,0,3,0,0,3.75166666666667,4,69.3333333333333,1,0.833333333333333,2,10.6666666666667,3.08333333333333,0.288194444444444,7,1.52380952380952,44.0476190476191,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.47663888888889,3,0,FALSE
3,962,962,4,2,2.2,1,0,1,1,6,1,8,91.1333333333333,3.49344444444444,1440,625.116666666667,0,0,0,3,1,0,0,0,0,0,0,0,2,10.6666666666667,3.08333333333333,0.288194444444444,7,1.52380952380952,44.0476190476191,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1.29344444444444,1,0,FALSE
2,963,963,4,3,0.37,1,0,1,1,6,1,8,12.65,0.484916666666667,1440,606.566666666667,0,0,0,2,2,0,0,6,1,120,1,0,2,10.6666666666667,3.08333333333333,0.288194444444444,7,1.52380952380952,44.0476190476191,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.114916666666667,2,0,TRUE
2,964,964,4,3,0.81,1,0,1,1,6,1,9,23.9666666666667,0.918722222222222,1440,549.5,0,0,0,3,1,0,0,0,0,0,0,0,2,10.6666666666667,3.08333333333333,0.288194444444444,7,1.52380952380952,44.0476190476191,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.108722222222222,1,0,TRUE
2,965,965,4,3,0.37,1,0,1,1,6,1,10,12.05,0.461916666666667,1440,510.666666666667,0,0,0,3,1,0,0,0,0,0,0,0,3,10.3333333333333,3.58333333333333,0.35,7,1.47619047619048,51.1904761904762,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.091916666666667,1,0,TRUE
2,966,966,4,3,1.91,1,0,1,1,6,1,11,57.25,2.19458333333333,1440,463.383333333333,0,1,0,0,3,0,0,0,0,0,0,0,3,10.3333333333333,3.58333333333333,0.35,7,1.47619047619048,51.1904761904762,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.28458333333333,3,0,TRUE
2,967,967,4,3,2.2,1,0,1,1,6,1,14,60.45,2.31725,1440,267.316666666667,0,0,0,1,3,0,0,0,0,0,0,0,4,23.6666666666667,6.66666666666667,0.286349206349206,7,3.38095238095238,95.2380952380952,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.11725,3,0,TRUE
2,968,968,4,3,0.18,1,0,1,1,6,1,15,10.1833333333333,0.390361111111111,1440,229.533333333333,0,0,0,1,3,0,0,3.67818181818182,10,123.272727272727,1,0,4,23.6666666666667,6.66666666666667,0.286349206349206,7,3.38095238095238,95.2380952380952,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.210361111111111,3,0,TRUE
2,969,969,4,3,7.84,1,1,1,1,7,1,9,219.816666666667,8.42630555555555,1440,571.65,0,0,0,5,3,0,1,3.92705882352941,15,57.5294117647059,1,0.647058823529412,2,8.66666666666667,3.33333333333333,0.423611111111111,7,1.23809523809524,47.6190476190476,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.586305555555549,3,0,TRUE
2,970,970,4,3,5.21,1,1,1,1,7,1,8,147.5,5.65416666666667,1440,623.766666666667,0,0,0,2,1,0,0,6.662,2,115,1,1,2,8.66666666666667,3.33333333333333,0.423611111111111,7,1.23809523809524,47.6190476190476,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.44416666666667,1,0,TRUE
